organization_code,deployment_code,recording_code,recording_device_codes,recording_start_datetime,recording_end_datetime,recording_duration_secs,recording_interval_secs,recording_sample_rate_khz,recording_bit_depth,recording_channel,recording_n_channels,recording_filetypes,recording_timezone,recording_usable_start_datetime,recording_usable_end_datetime,recording_usable_min_frequency_khz,recording_usable_max_frequency_khz,recording_quality_code,recording_device_lost,recording_device_depth_m,recording_redacted,recording_json,recording_uri,recording_comments
SWFSC,SWFSC_HUM_20210822_ADRIFT_001,SoundTrap_Recordings,"SoundTrap_5987,HTI_856135,HTI_856147",2021-08-22T18:59:59Z,2021-08-29T09:30:30Z,360,720,384,16,1,2,WAV,UTC,2021-08-22T18:59:59Z,2021-08-29T09:30:30Z,0.05,384,COMPROMISED,NA,100,NA,NA,gs:/swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_001,NA
SWFSC,SWFSC_HMB_20210609_ADRIFT_002,SoundTrap_Recordings,"SoundTrap_5296,HTI_856097,HTI_856059",2021-06-09T18:12:23Z,2021-06-16T22:48:53Z,360,360,384,16,1,2,WAV,UTC,2021-06-09T18:12:23Z,2021-06-16T22:48:53Z,0.025,384,COMPROMISED,NA,100,NA,NA,gs:/swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_002,NA
SWFSC,SWFSC_SFB_20210725_ADRIFT_003,SoundTrap_Recordings,"SoundTrap_1208786975,HTI_856122,HTI_NA",2021-07-25T18:35:58Z,2021-08-03T16:32:07Z,360,720,384,16,1,2,WAV,UTC,2021-07-25T18:35:58Z,2021-08-03T16:32:07Z,0.05,384,COMPROMISED,NA,100,NA,NA,gs:/swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_003,NA
SWFSC,SWFSC_SFB_20210610_ADRIFT_005,SoundTrap_Recordings,"SoundTrap_1208786975,HTI_856122,HTI_NA",2021-06-10T18:30:40Z,2021-06-22T21:21:24Z,360,720,384,16,1,2,WAV,UTC,2021-06-10T18:30:40Z,2021-06-22T21:21:24Z,0.03,384,COMPROMISED,NA,100,NA,NA,gs:/swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_005,NA
SWFSC,SWFSC_SFB_20210725_ADRIFT_006,SoundTrap_Recordings,"SoundTrap_5318,HTI_856116,HTI_NA",2021-07-25T19:11:59Z,2021-07-28T22:05:59Z,360,720,384,16,1,2,WAV,UTC,2021-07-25T19:11:59Z,2021-07-28T22:05:59Z,0.05,384,COMPROMISED,NA,100,NA,NA,gs:/swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_006,NA
SWFSC,SWFSC_SFB_20210610_ADRIFT_007,SoundTrap_Recordings,"SoundTrap_5318,HTI_856116,HTI_NA",2021-06-10T17:33:22Z,2021-06-24T10:00:08Z,360,720,384,16,1,2,WAV,UTC,2021-06-10T17:33:22Z,2021-06-24T10:00:08Z,0.03,384,COMPROMISED,NA,100,NA,NA,gs:/swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_007,NA
SWFSC,SWFSC_HUM_20220118_ADRIFT_012,SoundTrap_Recordings,"SoundTrap_5992,HTI_856162,HTI_856168",2022-01-18T03:42:19Z,2022-01-21T19:39:12Z,360,360,384,16,1,2,WAV,UTC,2022-01-18T03:42:19Z,2022-01-21T19:39:12Z,0.03,192,COMPROMISED,NA,100,NA,NA,gs:/swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_012,NA
SWFSC,SWFSC_HUM_20220425_ADRIFT_017,SoundTrap_Recordings,"SoundTrap_5987,HTI_856162,HTI_856168",2022-04-25T18:59:59Z,2022-04-28T19:22:16Z,1350,1350,384,16,1,2,WAV,UTC,2022-04-25T18:59:59Z,2022-04-28T19:22:16Z,0.08,192,GOOD,NA,100,NA,NA,gs:/swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_017,NA
SWFSC,SWFSC_HUM_20220425_ADRIFT_018,SoundTrap_Recordings,"SoundTrap_5989,HTI_856155,HTI_856166",2022-04-25T19:59:57Z,2022-04-28T20:22:15Z,1350,1350,384,16,1,2,WAV,UTC,2022-04-25T19:59:57Z,2022-04-28T20:22:15Z,0.08,192,GOOD,NA,100,NA,NA,gs:/swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_018,NA
SWFSC,SWFSC_HUM_20220728_ADRIFT_030,SoundTrap_Recordings,"SoundTrap_5987,HTI_856161,HTI_856176",2022-07-28T18:59:58Z,2022-08-01T11:29:40Z,1350,1350,384,16,1,2,WAV,UTC,2022-07-28T18:59:58Z,2022-08-01T11:29:40Z,0.05,192,GOOD,NA,100,NA,NA,gs:/swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_030,NA
SWFSC,SWFSC_HUM_20220728_ADRIFT_031,SoundTrap_Recordings,"SoundTrap_5984,HTI_856155,HTI_856166",2022-07-28T18:59:58Z,2022-08-01T08:52:13Z,1350,1350,384,16,1,2,WAV,UTC,2022-07-28T18:59:58Z,2022-08-01T08:52:13Z,0.05,192,GOOD,NA,100,NA,NA,gs:/swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_031,NA
SWFSC,SWFSC_HUM_20220913_ADRIFT_032,SoundTrap_Recordings,"SoundTrap_5987,HTI_856155,HTI_856166",2022-09-13T06:59:56Z,2022-09-15T18:14:45Z,1350,1350,384,16,1,2,WAV,UTC,2022-09-13T06:59:56Z,2022-09-15T18:14:45Z,0.03,192,GOOD,NA,100,NA,NA,gs:/swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_032,NA
SWFSC,SWFSC_HUM_20220913_ADRIFT_033,SoundTrap_Recordings,"SoundTrap_5984,HTI_856162,HTI_856168",2022-09-13T04:44:56Z,2022-09-15T17:29:45Z,1350,1350,384,16,1,2,WAV,UTC,2022-09-13T04:44:56Z,2022-09-15T17:29:45Z,0.25,192,COMPROMISED,NA,100,NA,NA,gs:/swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_033,NA
