organization_code,device_code,device_type_code,device_manufacturer,device_model_name,device_model_number,device_serial_number,device_description,device_start_date,device_end_date,device_alias,device_json,device_comments,child_device_codes
SWFSC,SoundTrap_5990,recording_device,Ocean Instruments,,SoundTrap 300 High Frequency,5990,,,,,NA,,
SWFSC,SoundTrap_6537,recording_device,Ocean Instruments,,SoundTrap 300 High Frequency,6537,,,,,"{""GAIN"":{""HIGH"":176.8,""LOW"":189.5}}",,
SWFSC,SoundTrap_6539,recording_device,Ocean Instruments,,SoundTrap 300 High Frequency,6539,,,,,"{""GAIN"":{""HIGH"":176.6,""LOW"":189.1}}",,
SWFSC,SoundTrap_6541,recording_device,Ocean Instruments,,SoundTrap 300 High Frequency,6541,,,,,"{""GAIN"":{""HIGH"":175.7,""LOW"":189.9}}",,
SWFSC,SoundTrap_201883689,recording_device,Ocean Instruments,,SoundTrap 300 High Frequency,201883689,,,,,"{""GAIN"":{""HIGH"":172.3,""LOW"":184.7}}",,
SWFSC,SoundTrap_1208528927,recording_device,Ocean Instruments,,SoundTrap 300 High Frequency,1208528927,,,,,"{""GAIN"":{""HIGH"":178,""LOW"":190.7}}",,
SWFSC,SoundTrap_1208791071,recording_device,Ocean Instruments,,SoundTrap 4300 High Frequency,1208791071,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_5296,recording_device,Ocean Instruments,,SoundTrap 4300 High Frequency,5296,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_5984,recording_device,Ocean Instruments,,SoundTrap 4300 High Frequency,5984,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_5986,recording_device,Ocean Instruments,,SoundTrap 4300 High Frequency,5986,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_5987,recording_device,Ocean Instruments,,SoundTrap 4300 High Frequency,5987,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_5990,recording_device,Ocean Instruments,,SoundTrap 4300 High Frequency,5990,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_5991,recording_device,Ocean Instruments,,SoundTrap 4300 High Frequency,5991,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_5992,recording_device,Ocean Instruments,,SoundTrap 4300 High Frequency,5992,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_5994,recording_device,Ocean Instruments,,SoundTrap 4300 High Frequency,5994,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_1677738025,recording_device,Ocean Instruments,,SoundTrap 4300,1677738025,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_1543770129,recording_device,Ocean Instruments,,SoundTrap 4300,1543770129,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_1544081436,recording_device,Ocean Instruments,,SoundTrap 4300,1544081436,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_1678016538,recording_device,Ocean Instruments,,SoundTrap 4300,1678016538,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_1636,recording_device,Ocean Instruments,,SoundTrap 500 High Frequency,1636,,,,,"{""SENSITIVITY"":-1.8}",,
SWFSC,SoundTrap_4915,recording_device,Ocean Instruments,,SoundTrap 500 High Frequency,4915,,,,,NA,,
SWFSC,SoundTrap_5288,recording_device,Ocean Instruments,,SoundTrap 500 High Frequency,5288,,,,,"{""SENSITIVITY"":-1.8}",,
SWFSC,SoundTrap_6664,recording_device,Ocean Instruments,,SoundTrap 640,6664,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_7934,recording_device,Ocean Instruments,,SoundTrap 640,7934,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_7951,recording_device,Ocean Instruments,,SoundTrap 640,7951,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_7936,recording_device,Ocean Instruments,,SoundTrap 640,7936,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_7950,recording_device,Ocean Instruments,,SoundTrap 640,7950,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_7930,recording_device,Ocean Instruments,,SoundTrap 640,7930,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_7952,recording_device,Ocean Instruments,,SoundTrap 640,7952,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_7953,recording_device,Ocean Instruments,,SoundTrap 640,7953,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_6655,recording_device,Ocean Instruments,,SoundTrap 640,6655,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_6667,recording_device,Ocean Instruments,,SoundTrap 640,6667,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_7935,recording_device,Ocean Instruments,,SoundTrap 640,7935,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_7939,recording_device,Ocean Instruments,,SoundTrap 640,7939,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_6663,recording_device,Ocean Instruments,,SoundTrap 640,6663,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_6665,recording_device,Ocean Instruments,,SoundTrap 640,6665,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_8595,recording_device,Ocean Instruments,,SoundTrap 640,8595,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_7517,recording_device,Ocean Instruments,,SoundTrap 640,7517,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_7518,recording_device,Ocean Instruments,,SoundTrap 640,7518,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_7519,recording_device,Ocean Instruments,,SoundTrap 640,7519,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_7520,recording_device,Ocean Instruments,,SoundTrap 640,7520,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_7521,recording_device,Ocean Instruments,,SoundTrap 640,7521,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_7931,recording_device,Ocean Instruments,,SoundTrap 640,7931,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_7932,recording_device,Ocean Instruments,,SoundTrap 640,7932,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_7938,recording_device,Ocean Instruments,,SoundTrap 640,7938,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_1208537119,recording_device,Ocean Instruments,,SoundTrap 300 High Frequency,1208537119,,,,,"{""GAIN"":{""HIGH"":178.3,""LOW"":190.8}}",,
SWFSC,SoundTrap_5985,recording_device,Ocean Instruments,,SoundTrap 4300 High Frequency,5985,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_5297,recording_device,Ocean Instruments,,SoundTrap 4300 High Frequency,5297,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_5318,recording_device,Ocean Instruments,,SoundTrap 4300 High Frequency,5318,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_5988,recording_device,Ocean Instruments,,SoundTrap 4300 High Frequency,5988,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_5989,recording_device,Ocean Instruments,,SoundTrap 4300 High Frequency,5989,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_1208786975,recording_device,Ocean Instruments,,SoundTrap 4300 High Frequency,1208786975,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_6666,recording_device,Ocean Instruments,,SoundTrap 640,6666,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_6670,recording_device,Ocean Instruments,,SoundTrap 640,6670,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_6672,recording_device,Ocean Instruments,,SoundTrap 640,6672,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_6673,recording_device,Ocean Instruments,,SoundTrap 640,6673,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_6668,recording_device,Ocean Instruments,,SoundTrap 640,6668,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SoundTrap_6669,recording_device,Ocean Instruments,,SoundTrap 640,6669,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,HTI_856001,hydrophone-individual,"High Tech, Inc.",,HTI-96-MIN,856001,,,,,"{""SENSITIVITY"":-160.8}",,
SWFSC,HTI_856001,hydrophone-individual,"High Tech, Inc.",,HTI-96-MIN,856001,,,,,"{""SENSITIVITY"":-160.8}",,
