organization_code,deployment_code,project_code,site_code,deployment_device_codes,deployment_platform_type_code,deployment_water_depth_m,deployment_datetime,deployment_latitude,deployment_longitude,deployment_vessel,deployment_cruise,deployment_alias,deployment_json,deployment_comments,recovery_datetime,recovery_latitude,recovery_longitude,recovery_vessel,recovery_cruise,recovery_surface_datetime,recovery_burn_datetime,recovery_json,recovery_comments,parent_deployment_code
SWFSC,SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_5987,HTI_856135,HTI_856147,satellite-tracker_R,satellite-tracker_S,depth-sensor_16396",drifting_buoy,,2021-08-22T17:53:00Z,41.07169,-124.35431,R/V Western Flyer,MBARI,,,,2021-09-04T19:53:00Z,41.19933,-124.35431,F/V Scrimshaw,MBARI,,,,,
SWFSC,SWFSC_HMB_20210609_ADRIFT_002,SWFSC_ADRIFT_2021-2023,HMB,"SoundTrap_5296,HTI_856097,HTI_856059,satellite-tracker_X,satellite-tracker_Y,depth-sensor_15712",drifting_buoy,,2021-06-09T18:38:00Z,37.38445,-122.39095,R/V Fulmar,ACCESS,,,,2021-06-29T23:58:00Z,36.97772,-124.24507,R/V Shimada,ACCESS,,,,,
SWFSC,SWFSC_SFB_20210725_ADRIFT_003,SWFSC_ADRIFT_2021-2023,SFB,"SoundTrap_1208786975,HTI_856122,HTI_NA,satellite-tracker_E,satellite-tracker_AH,depth-sensor_15720",drifting_buoy,,2021-07-25T18:33:00Z,37.96585,-123.50412,R/V Fulmar,ACCESS,,,,2021-08-03T16:04:00Z,38.03326,-123.47699,R/V Mussel Point,ACCESS,,,,,
SWFSC,SWFSC_SFB_20210610_ADRIFT_005,SWFSC_ADRIFT_2021-2023,SFB,"SoundTrap_1208786975,HTI_856122,HTI_NA,satellite-tracker_K,satellite-tracker_AF,depth-sensor_15815",drifting_buoy,,2021-06-10T18:30:00Z,37.64012,-123.31702,R/V Fulmar,ACCESS,,,,2021-06-24T16:50:59Z,37.35722,-123.40192,R/V Fulmar,ACCESS,,,,,
SWFSC,SWFSC_SFB_20210725_ADRIFT_006,SWFSC_ADRIFT_2021-2023,SFB,"SoundTrap_5318,HTI_856116,HTI_NA,satellite-tracker_K,satellite-tracker_AF,depth-sensor_15815",drifting_buoy,,2021-07-25T19:11:00Z,38.12932,-123.54153,R/V Fulmar,ACCESS,,,,2021-07-28T22:24:00Z,38.12057,-123.31761,F/V Karen Jeanne,ACCESS,,,,,
SWFSC,SWFSC_SFB_20210610_ADRIFT_007,SWFSC_ADRIFT_2021-2023,SFB,"SoundTrap_5318,HTI_856116,HTI_NA,satellite-tracker_E,satellite-tracker_AH,depth-sensor_15720",drifting_buoy,,2021-06-10T16:49:00Z,37.84347,-123.4218,R/V Fulmar,ACCESS,,,,2021-06-24T15:46:00Z,37.69527,-123.35722,R/V Fulmar,ACCESS,,,,,
SWFSC,SWFSC_HUM_20220118_ADRIFT_012,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_5992,HTI_856162,HTI_856168,satellite-tracker_E,satellite-tracker_AH,depth-sensor_15865",drifting_buoy,,2022-01-18T03:16:00Z,41.03348,-124.43,R/V Coral Sea,CS220117,,,,2022-01-23T18:52:00Z,40.86609,-124.86101,F/V Schrimshaw,CS220117,,,,,
SWFSC,SWFSC_HUM_20220425_ADRIFT_017,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_5987,HTI_856162,HTI_856168,satellite-tracker_E,satellite-tracker_AH,depth-sensor_15518",drifting_buoy,,2022-04-25T15:36:00Z,41.05788,-124.48456,F/V Scrimshaw,Scrimshaw,,,,2022-04-28T19:17:00Z,40.69507,-124.52717,F/V Scrimshaw,Scrimshaw,,,,,
SWFSC,SWFSC_HUM_20220425_ADRIFT_018,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_5989,HTI_856155,HTI_856166,satellite-tracker_R,satellite-tracker_S,depth-sensor_15817",drifting_buoy,,2022-04-25T16:12:00Z,41.05201,-124.54956,F/V Scrimshaw,Scrimshaw,,,,2022-04-28T20:18:00Z,40.5795,-124.86624,F/V Scrimshaw,Scrimshaw,,,,,
SWFSC,SWFSC_HUM_20220728_ADRIFT_030,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_5987,HTI_856161,HTI_856176,satellite-tracker_SO-296,depth-sensor_15518",drifting_buoy,,2022-07-28T16:25:00Z,41.12946,-124.54122,F/V Scrimshaw,Scrimshaw,,,,2022-08-01T21:32:00Z,41.04706,-125.02628,F/V Scrimshaw,Scrimshaw,,,,,
