organization_code,deployment_code,track_code,track_uri,track_json,track_comments
SWFSC,SWFSC_HUM_20210822_ADRIFT_001,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_001/metadata/gps/ADRIFT_001_GPS.csv,,
SWFSC,SWFSC_HMB_20210609_ADRIFT_002,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_002/metadata/gps/ADRIFT_002_GPS.csv,,
SWFSC,SWFSC_SFB_20210725_ADRIFT_003,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_003/metadata/gps/ADRIFT_003_GPS.csv,,
SWFSC,SWFSC_SFB_20210610_ADRIFT_005,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_005/metadata/gps/ADRIFT_005_GPS.csv,,
SWFSC,SWFSC_SFB_20210725_ADRIFT_006,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_006/metadata/gps/ADRIFT_006_GPS.csv,,
SWFSC,SWFSC_SFB_20210610_ADRIFT_007,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_007/metadata/gps/ADRIFT_007_GPS.csv,,
SWFSC,SWFSC_HUM_20220118_ADRIFT_012,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_012/metadata/gps/ADRIFT_012_GPS.csv,,
SWFSC,SWFSC_HUM_20220425_ADRIFT_017,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_017/metadata/gps/ADRIFT_017_GPS.csv,,
SWFSC,SWFSC_HUM_20220425_ADRIFT_018,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_018/metadata/gps/ADRIFT_018_GPS.csv,,
SWFSC,SWFSC_HUM_20220728_ADRIFT_030,drifting-buoy_track,gs:/swfsc-1-working/2021-23_ADRIFT_Rankin/drifting_recorder/ADRIFT_030/metadata/gps/ADRIFT_030_GPS.csv,,
