organization_code,deployment_code,project_code,site_code,deployment_device_codes,deployment_platform_type_code,deployment_water_depth_m,deployment_datetime,deployment_latitude,deployment_longitude,deployment_vessel,deployment_cruise,deployment_alias,deployment_json,deployment_comments,recovery_datetime,recovery_latitude,recovery_longitude,recovery_vessel,recovery_cruise,recovery_surface_datetime,recovery_burn_datetime,recovery_json,recovery_comments,parent_deployment_code
SWFSC,SWFSC_HUM_20180725_CCES_004,SWFSC_CCES_2018,HUM,"SoundTrap_SM3M_3,HTI_856073,HTI_856040,satellite-tracker_E,satellite-tracker_K,depth-sensor_OT-6",drifting_buoy,,2018-07-25T03:30:00Z,45.0834,-128.2082,R/V Ruben Lasker,CCES2018,,,,2018-10-13T00:36:00Z,41.7569,-127.1545,R/V Ruben Lasker,CCES2018,,,,,
SWFSC,SWFSC_BCN_20181031_CCES_017,SWFSC_CCES_2018,BCN,"SoundTrap_SM3M_3,HTI_856073,HTI_856040,satellite-tracker_E,satellite-tracker_K,depth-sensor_OT-6",drifting_buoy,,2018-10-31T00:02:00Z,30.725,-118.6933,R/V Ruben Lasker,CCES2018,,,,2018-11-24T04:31:00Z,28.2857,-118.4385,R/V Ruben Lasker,CCES2018,,,,,
SWFSC,SWFSC_HUM_20180805_CCES_007,SWFSC_CCES_2018,HUM,"SoundTrap_1208791071,HTI_856049,HTI_856068,satellite-tracker_R,satellite-tracker_S,depth-sensor_LAT-5",drifting_buoy,,2018-08-05T14:48:00Z,41.2604,-125.0157,R/V Ruben Lasker,CCES2018,,,,2018-10-22T09:00:00Z,42.04,-124.485,R/V Ruben Lasker,CCES2018,,,,,
SWFSC,SWFSC_HUM_20180816_CCES_008,SWFSC_CCES_2018,HUM,"SoundTrap_1678016538,HTI_856095,HTI_856041,satellite-tracker_T,satellite-tracker_U,depth-sensor_LAT-6",drifting_buoy,,2018-08-16T02:34:00Z,38.9485,-126.6449,R/V Ruben Lasker,CCES2018,,,,2018-10-10T16:53:00Z,34.3774,-128.3174,R/V Ruben Lasker,CCES2018,,,,,
SWFSC,SWFSC_PTA_20180822_CCES_010,SWFSC_CCES_2018,PTA,"SoundTrap_1208786975,HTI_856096,HTI_856044,satellite-tracker_Z,satellite-tracker_AA,depth-sensor_LAT-8",drifting_buoy,,2018-08-22T02:11:00Z,36.7607,-125.0584,R/V Ruben Lasker,CCES2018,,,,2018-10-22T00:20:59Z,35.9671,-122.9397,R/V Ruben Lasker,CCES2018,,,,,
SWFSC,SWFSC_MOB_20180830_CCES_012,SWFSC_CCES_2018,MOB,"SoundTrap_1544081436,HTI_856097,HTI_856017,satellite-tracker_C,satellite-tracker_D,depth-sensor_LAT-10",drifting_buoy,,2018-08-30T02:34:00Z,34.8303,-123.8146,R/V Ruben Lasker,CCES2018,,,,2018-10-06T17:08:00Z,34.0316,-124.3911,R/V Ruben Lasker,CCES2018,,,,,
SWFSC,SWFSC_CHI_20180911_CCES_013,SWFSC_CCES_2018,CHI,"SoundTrap_1677738025,HTI_856051,HTI_856067,satellite-tracker_X,satellite-tracker_Y,depth-sensor_LAT-11",drifting_buoy,,2018-09-11T20:35:00Z,33.898,-120.9078,R/V Ruben Lasker,CCES2018,,,,2018-10-23T14:34:00Z,31.4444,-119.7754,R/V Ruben Lasker,CCES2018,,,,,
SWFSC,SWFSC_BCN_20181005_CCES_014,SWFSC_CCES_2018,BCN,"SoundTrap_1208791071,HTI_856048,HTI_856059,satellite-tracker_A,satellite-tracker_B,depth-sensor_LAT-5",drifting_buoy,,2018-10-05T05:46:00Z,32.2688,-118.2563,R/V Ruben Lasker,CCES2018,,,,2018-11-01T16:55:00Z,31.9507,-119.2481,R/V Ruben Lasker,CCES2018,,,,,
SWFSC,SWFSC_BCN_20181030_CCES_016,SWFSC_CCES_2018,BCN,"SoundTrap_1543770129,HTI_856049,HTI_856068,satellite-tracker_R,satellite-tracker_S,depth-sensor_NA",drifting_buoy,,2018-10-30T14:32:59Z,31.3534,-117.4199,R/V Ruben Lasker,CCES2018,,,,2018-11-21T04:18:00Z,32.1253,-118.0337,R/V Ruben Lasker,CCES2018,,,,,
SWFSC,SWFSC_BCN_20181031_CCES_018,SWFSC_CCES_2018,BCN,"SoundTrap_1208786975,HTI_856096,HTI_856044,satellite-tracker_Z,satellite-tracker_AA,depth-sensor_NA",drifting_buoy,,2018-10-31T09:58:00Z,30.0108,-120.1815,R/V Ruben Lasker,CCES2018,,,,2018-11-23T18:41:00Z,29.5059,-118.8216,R/V Ruben Lasker,CCES2018,,,,,
