organization_code,deployment_code,recording_code,recording_device_codes,recording_start_datetime,recording_end_datetime,recording_duration_secs,recording_interval_secs,recording_sample_rate_khz,recording_bit_depth,recording_channel,recording_n_channels,recording_filetypes,recording_timezone,recording_usable_start_datetime,recording_usable_end_datetime,recording_usable_min_frequency_khz,recording_usable_max_frequency_khz,recording_quality_code,recording_device_lost,recording_device_depth_m,recording_redacted,recording_json,recording_uri,recording_comments
SWFSC,SWFSC_HUM_20180725_CCES_004,SoundTrap_Recordings,"SoundTrap_SM3M_3,HTI_856073,HTI_856040",2018-07-30T00:00:00Z,2018-10-12T23:59:59Z,120,1200,256,16,1,2,WAV,UTC,2018-07-30T00:00:00Z,2018-10-12T23:59:59Z,0.1,256,COMPROMISED,,100,,,gs:/swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_004,
SWFSC,SWFSC_HUM_20180805_CCES_007,SoundTrap_Recordings,"SoundTrap_1208791071,HTI_856049,HTI_856068",2018-08-05T15:27:50Z,2018-09-22T18:09:50Z,120,1200,288,16,1,2,WAV,UTC,2018-08-05T15:27:50Z,2018-09-22T18:09:50Z,0.02,288,GOOD,,150,,,gs:/swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_007,
SWFSC,SWFSC_HUM_20180816_CCES_008,SoundTrap_Recordings,"SoundTrap_1678016538,HTI_856095,HTI_856041",2018-08-16T04:38:04Z,2018-10-01T01:59:55Z,120,1200,288,16,1,2,WAV,UTC,2018-08-16T04:38:04Z,2018-10-01T01:59:55Z,0.03,288,GOOD,,150,,,gs:/swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_008,
SWFSC,SWFSC_PTA_20180822_CCES_010,SoundTrap_Recordings,"SoundTrap_1208786975,HTI_856096,HTI_856044",2018-08-22T02:24:55Z,2018-10-21T23:48:58Z,120,1200,576,16,1,2,WAV,UTC,2018-08-22T02:24:55Z,2018-10-21T23:48:58Z,0.03,576,GOOD,,150,,,gs:/swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_010,
SWFSC,SWFSC_MOB_20180830_CCES_012,SoundTrap_Recordings,"SoundTrap_1544081436,HTI_856097,HTI_856017",2018-08-30T02:58:44Z,2018-10-06T17:00:44Z,120,1200,288,16,1,2,WAV,UTC,2018-08-30T02:58:44Z,2018-10-06T17:00:44Z,0.02,288,GOOD,,150,,,gs:/swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_012,
SWFSC,SWFSC_CHI_20180911_CCES_013,SoundTrap_Recordings,"SoundTrap_1677738025,HTI_856051,HTI_856067",2018-09-11T20:56:28Z,2018-10-23T13:58:28Z,120,1200,288,16,1,2,WAV,UTC,2018-09-11T20:56:28Z,2018-10-23T13:58:28Z,0.025,288,GOOD,,150,,,gs:/swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_013,
SWFSC,SWFSC_BCN_20181005_CCES_014,SoundTrap_Recordings,"SoundTrap_1208791071,HTI_856048,HTI_856059",2018-10-05T06:01:04Z,2018-11-01T16:43:03Z,120,1200,576,16,1,2,WAV,UTC,2018-10-05T06:01:04Z,2018-11-01T16:43:03Z,0.03,576,GOOD,,150,,,gs:/swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_014,
SWFSC,SWFSC_BCN_20181030_CCES_016,SoundTrap_Recordings,"SoundTrap_1543770129,HTI_856049,HTI_856068",2018-10-30T14:49:37Z,2018-11-15T23:01:37Z,120,600,576,16,1,2,WAV,UTC,2018-10-30T14:49:37Z,2018-11-15T23:01:37Z,0.03,576,GOOD,,150,,,gs:/swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_016,
SWFSC,SWFSC_BCN_20181031_CCES_017,SoundTrap_Recordings,"SoundTrap_SM3M_3,HTI_856073,HTI_856040",2018-10-31T00:00:00Z,2018-11-24T04:30:00Z,120,240,256,16,1,2,WAV,UTC,2018-10-31T00:00:00Z,2018-11-24T04:30:00Z,0,256,COMPROMISED,,100,,,gs:/swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_017,
SWFSC,SWFSC_BCN_20181031_CCES_018,SoundTrap_Recordings,"SoundTrap_1208786975,HTI_856096,HTI_856044",2018-10-31T10:05:29Z,2018-11-16T04:12:29Z,120,360,576,16,1,2,WAV,UTC,2018-10-31T10:05:29Z,2018-11-16T04:12:29Z,0,576,GOOD,,150,,,gs:/swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_018,
