organization_code,deployment_code,track_code,track_uri,track_json,track_comments
SWFSC,SWFSC_HUM_20180725_CCES_004,drifting-buoy_track,gs:/swfsc-1-working/2018_CCES/drifting_recorder/CCES_004/metadata/gps/CCES_004_GPS.csv,,
SWFSC,SWFSC_HUM_20180805_CCES_007,drifting-buoy_track,gs:/swfsc-1-working/2018_CCES/drifting_recorder/CCES_007/metadata/gps/CCES_007_GPS.csv,,
SWFSC,SWFSC_HUM_20180816_CCES_008,drifting-buoy_track,gs:/swfsc-1-working/2018_CCES/drifting_recorder/CCES_008/metadata/gps/CCES_008_GPS.csv,,
SWFSC,SWFSC_PTA_20180822_CCES_010,drifting-buoy_track,gs:/swfsc-1-working/2018_CCES/drifting_recorder/CCES_010/metadata/gps/CCES_010_GPS.csv,,
SWFSC,SWFSC_MOB_20180830_CCES_012,drifting-buoy_track,gs:/swfsc-1-working/2018_CCES/drifting_recorder/CCES_012/metadata/gps/CCES_012_GPS.csv,,
SWFSC,SWFSC_CHI_20180911_CCES_013,drifting-buoy_track,gs:/swfsc-1-working/2018_CCES/drifting_recorder/CCES_013/metadata/gps/CCES_013_GPS.csv,,
SWFSC,SWFSC_BCN_20181005_CCES_014,drifting-buoy_track,gs:/swfsc-1-working/2018_CCES/drifting_recorder/CCES_014/metadata/gps/CCES_014_GPS.csv,,
SWFSC,SWFSC_BCN_20181030_CCES_016,drifting-buoy_track,gs:/swfsc-1-working/2018_CCES/drifting_recorder/CCES_016/metadata/gps/CCES_016_GPS.csv,,
SWFSC,SWFSC_BCN_20181031_CCES_017,drifting-buoy_track,gs:/swfsc-1-working/2018_CCES/drifting_recorder/CCES_017/metadata/gps/CCES_017_GPS.csv,,
SWFSC,SWFSC_BCN_20181031_CCES_018,drifting-buoy_track,gs:/swfsc-1-working/2018_CCES/drifting_recorder/CCES_018/metadata/gps/CCES_018_GPS.csv,,
SWFSC,SWFSC_BCN_20181101_CCES_019,drifting-buoy_track,gs:/swfsc-1-working/2018_CCES/drifting_recorder/CCES_019/metadata/gps/CCES_019_GPS.csv,,
SWFSC,SWFSC_BCN_20181105_CCES_020,drifting-buoy_track,gs:/swfsc-1-working/2018_CCES/drifting_recorder/CCES_020/metadata/gps/CCES_020_GPS.csv,,
SWFSC,SWFSC_BCN_20181106_CCES_021,drifting-buoy_track,gs:/swfsc-1-working/2018_CCES/drifting_recorder/CCES_021/metadata/gps/CCES_021_GPS.csv,,
SWFSC,SWFSC_BCN_20181107_CCES_022,drifting-buoy_track,gs:/swfsc-1-working/2018_CCES/drifting_recorder/CCES_022/metadata/gps/CCES_022_GPS.csv,,
SWFSC,SWFSC_BCN_20181122_CCES_023,drifting-buoy_track,gs:/swfsc-1-working/2018_CCES/drifting_recorder/CCES_023/metadata/gps/CCES_023_GPS.csv,,
