organization_code,deployment_code,project_code,site_code,deployment_device_codes,deployment_platform_type_code,deployment_water_depth_m,deployment_datetime,deployment_latitude,deployment_longitude,deployment_vessel,deployment_cruise,deployment_alias,deployment_json,deployment_comments,recovery_datetime,recovery_latitude,recovery_longitude,recovery_vessel,recovery_cruise,recovery_surface_datetime,recovery_burn_datetime,recovery_json,recovery_comments,parent_deployment_code
SWFSC,SWFSC_NEPAC-PTA_201808_CCES_010,CCES,POINT-ARENA,"HYDROPHONE-856096,SOUNDTRAP-4300-1208786975",DRIFTING_BUOY,,2018-08-22T02:24:55+0000,36.75908,-125.05679,,,,,,2018-10-21T23:48:58+0000,,,,,,,,,
SWFSC,SWFSC_NEPAC-BCN_201810_CCES_016,CCES,BAJA-CALIFORNIA-NORTE,"HYDROPHONE-856049,SOUNDTRAP-4300-1543770129",DRIFTING_BUOY,,2018-10-30T14:49:37+0000,31.35193,-117.42018,,,,,,2018-11-15T23:01:37+0000,,,,,,,,,
SWFSC,SWFSC_NEPAC-BCN_201810_CCES_017,CCES,BAJA-CALIFORNIA-NORTE,"HYDROPHONE-856073,SM3M-3",DRIFTING_BUOY,,2018-10-31T00:00:00+0000,30.72285,-118.6937,,,,,,2018-11-24T04:30:00+0000,,,,,,,,,
SWFSC,SWFSC_NEPAC-BCN_201810_CCES_018,CCES,BAJA-CALIFORNIA-NORTE,"HYDROPHONE-856096,SOUNDTRAP-4300-1208786975",DRIFTING_BUOY,,2018-10-31T10:05:29+0000,30.01918,-120.17584,,,,,,2018-11-16T04:12:29+0000,,,,,,,,,
SWFSC,SWFSC_NEPAC-BCN_201811_CCES_019,CCES,BAJA-CALIFORNIA-NORTE,"HYDROPHONE-856095,SOUNDTRAP-4300-1678016538",DRIFTING_BUOY,,2018-11-01T02:23:12+0000,30.04457,-117.45584,,,,,,2018-11-18T12:54:48+0000,,,,,,,,,
SWFSC,SWFSC_NEPAC-CHI_201609_PASCAL_020,PASCAL,CHANNEL-ISLANDS,"HYDROPHONE-856061,SOUNDTRAP-4300-773",DRIFTING_BUOY,,2016-09-07T02:37:11+0000,33.14218,-118.99933,,,,,,2016-09-29T05:18:16+0000,,,,,,,,,
SWFSC,SWFSC_NEPAC-BCN_201608_PASCAL_006,PASCAL,BAJA-CALIFORNIA-NORTE,"HYDROPHONE-856053,SOUNDTRAP-4300-6538",DRIFTING_BUOY,,2016-08-24T13:00:23+0000,32.19254,-119.9227,,,,,,2016-08-30T03:29:26+0000,,,,,,,,,
SWFSC,SWFSC_NEPAC-BCN_201608_PASCAL_007,PASCAL,BAJA-CALIFORNIA-NORTE,"HYDROPHONE-856045,SM3M-1",DRIFTING_BUOY,,2016-08-25T09:30:06+0000,31.37024,-123.70959,,,,,,2016-09-13T09:30:03+0000,,,,,,,,,
SWFSC,SWFSC_NEPAC-BCN_201810_CCES_014,CCES,BAJA-CALIFORNIA-NORTE,"HYDROPHONE-856048,SOUNDTRAP-4300-1208791071",DRIFTING_BUOY,,2018-10-05T06:01:04+0000,32.26633,-118.25238,,,,,,2018-11-01T16:43:04+0000,,,,,,,,,
SWFSC,SWFSC_NEPAC-BCN_201811_CCES_020,CCES,BAJA-CALIFORNIA-NORTE,"HYDROPHONE-856097,SOUNDTRAP-4300-1677738025",DRIFTING_BUOY,,2018-11-05T14:22:39+0000,29.46011,-118.39453,,,,,,2018-11-22T09:16:43+0000,,,,,,,,,
SWFSC,SWFSC_NEPAC-BCN_201811_CCES_021,CCES,BAJA-CALIFORNIA-NORTE,"HYDROPHONE-856048,SOUNDTRAP-4300-1208791071",DRIFTING_BUOY,,2018-11-06T03:58:51+0000,29.46662,-116.00983,,,,,,2018-11-11T09:12:51+0000,,,,,,,,,
SWFSC,SWFSC_NEPAC-BCN_201811_CCES_022,CCES,BAJA-CALIFORNIA-NORTE,"HYDROPHONE-856051,SOUNDTRAP-4300-1544081436",DRIFTING_BUOY,,2018-11-07T14:23:49+0000,28.72683,-116.47705,,,,,,2018-11-23T18:55:49+0000,,,,,,,,,
SWFSC,SWFSC_NEPAC-BCN_201811_CCES_023,CCES,BAJA-CALIFORNIA-NORTE,"HYDROPHONE-856048,SOUNDTRAP-4300-1208791071",DRIFTING_BUOY,,2018-11-22T08:28:24+0000,30.92933,-117.38373,,,,,,2018-12-03T00:49:11+0000,,,,,,,,,
SWFSC,SWFSC_NEPAC-CHI_201608_PASCAL_005,PASCAL,CHANNEL-ISLANDS,"HYDROPHONE-856048,SOUNDTRAP-4300-8677",DRIFTING_BUOY,,2016-08-22T15:03:58+0000,34.21073,-121.42766,,,,,,2016-09-04T22:55:57+0000,,,,,,,,,
SWFSC,SWFSC_NEPAC-CHI_201608_PASCAL_008,PASCAL,CHANNEL-ISLANDS,"HYDROPHONE-856028,SM2BAT-1",DRIFTING_BUOY,,2016-08-26T04:56:00+0000,33.76644,-125.91042,,,,,,2016-09-14T02:46:00+0000,,,,,,,,,
SWFSC,SWFSC_NEPAC-CHI_201609_PASCAL_019,PASCAL,CHANNEL-ISLANDS,"HYDROPHONE-856047,SOUNDTRAP-4300-129",DRIFTING_BUOY,,2016-09-04T01:47:23+0000,33.21464,-123.1564,,,,,,2016-09-23T06:59:22+0000,,,,,,,,,
SWFSC,SWFSC_NEPAC-CHI_201609_PASCAL_026,PASCAL,CHANNEL-ISLANDS,"HYDROPHONE-856050,SOUNDTRAP-4300-774",DRIFTING_BUOY,,2016-09-24T15:15:28+0000,34.035,-121.07568,,,,,,2016-09-26T04:21:29+0000,,,,,,,,,
SWFSC,SWFSC_NEPAC-CHI_201609_PASCAL_027,PASCAL,CHANNEL-ISLANDS,"HYDROPHONE-856049,SOUNDTRAP-4300-8025",DRIFTING_BUOY,,2016-09-24T15:49:50+0000,34.05646,-121.04852,,,,,,2016-09-26T03:53:51+0000,,,,,,,,,
SWFSC,SWFSC_NEPAC-CHI_201609_PASCAL_028,PASCAL,CHANNEL-ISLANDS,"HYDROPHONE-856055,SOUNDTRAP-4300-4581",DRIFTING_BUOY,,2016-09-24T16:40:33+0000,33.97322,-120.985,,,,,,2016-09-29T03:38:00+0000,,,,,,,,,
SWFSC,SWFSC_NEPAC-CHI_201609_PASCAL_029,PASCAL,CHANNEL-ISLANDS,"HYDROPHONE-856050,SOUNDTRAP-4300-774",DRIFTING_BUOY,,2016-09-26T05:39:29+0000,34.05301,-121.04764,,,,,,2016-09-28T14:17:32+0000,,,,,,,,,
