organization_code,deployment_code,recording_device_codes,recording_code,recording_start_datetime,recording_end_datetime,recording_duration_secs,recording_interval_secs,recording_sample_rate_khz,recording_bit_depth,recording_channel,recording_n_channels,recording_filetypes,recording_timezone,recording_usable_start_datetime,recording_usable_end_datetime,recording_usable_min_frequency_khz,recording_usable_max_frequency_khz,recording_quality_code,recording_device_lost,recording_device_depth_m,recording_redacted,recording_json,recording_uri,recording_comments
SWFSC,SWFSC_NEPAC-COL_201608_PASCAL_013,SM3M-3,SM3M_RECORDING,2016-08-29T20:50:05+0000,2016-09-15T17:26:06+0000,3600.0,0.0,256.0,16,1,1,,UTC,,,,,,FALSE,,,,,
SWFSC,SWFSC_NEPAC-BCN_201608_PASCAL_006,SOUNDTRAP-4300-6538,SOUNDTRAP_RECORDING,2016-08-24T13:00:23+0000,2016-08-30T03:29:26+0000,3600.0,0.0,288.0,16,1,1,,UTC,,,,,,FALSE,,,,,
SWFSC,SWFSC_NEPAC-BCN_201608_PASCAL_007,SM3M-1,SM3M_RECORDING,2016-08-25T09:30:06+0000,2016-09-13T09:30:03+0000,3600.0,0.0,256.0,16,1,1,,UTC,,,,,,FALSE,,,,,
SWFSC,SWFSC_NEPAC-BCN_201810_CCES_014,SOUNDTRAP-4300-1208791071,SOUNDTRAP_RECORDING,2018-10-05T06:01:04+0000,2018-11-01T16:43:04+0000,120.0,1080.0,576.0,16,1,1,,UTC,,,,,,FALSE,,,,,
SWFSC,SWFSC_NEPAC-BCN_201810_CCES_016,SOUNDTRAP-4300-1543770129,SOUNDTRAP_RECORDING,2018-10-30T14:49:37+0000,2018-11-15T23:01:37+0000,120.0,480.0,576.0,16,1,1,,UTC,,,,,,FALSE,,,,,
SWFSC,SWFSC_NEPAC-BCN_201810_CCES_017,SM3M-3,SM3M_RECORDING,2018-10-31T00:00:00+0000,2018-11-24T04:30:00+0000,120.0,120.0,256.0,16,1,1,,UTC,,,,,,FALSE,,,,,
SWFSC,SWFSC_NEPAC-BCN_201810_CCES_018,SOUNDTRAP-4300-1208786975,SOUNDTRAP_RECORDING,2018-10-31T10:05:29+0000,2018-11-16T04:12:29+0000,120.0,240.0,576.0,16,1,1,,UTC,,,,,,FALSE,,,,,
SWFSC,SWFSC_NEPAC-BCN_201811_CCES_019,SOUNDTRAP-4300-1678016538,SOUNDTRAP_RECORDING,2018-11-01T02:23:12+0000,2018-11-18T12:54:48+0000,120.0,480.0,576.0,16,1,1,,UTC,,,,,,FALSE,,,,,
SWFSC,SWFSC_NEPAC-BCN_201811_CCES_020,SOUNDTRAP-4300-1677738025,SOUNDTRAP_RECORDING,2018-11-05T14:22:39+0000,2018-11-22T09:16:43+0000,120.0,480.0,576.0,16,1,1,,UTC,,,,,,FALSE,,,,,
SWFSC,SWFSC_NEPAC-BCN_201811_CCES_021,SOUNDTRAP-4300-1208791071,SOUNDTRAP_RECORDING,2018-11-06T03:58:51+0000,2018-11-11T09:12:51+0000,120.0,240.0,576.0,16,1,1,,UTC,,,,,,FALSE,,,,,
SWFSC,SWFSC_NEPAC-BCN_201811_CCES_022,SOUNDTRAP-4300-1544081436,SOUNDTRAP_RECORDING,2018-11-07T14:23:49+0000,2018-11-23T18:55:49+0000,120.0,480.0,576.0,16,1,1,,UTC,,,,,,FALSE,,,,,
SWFSC,SWFSC_NEPAC-BCN_201811_CCES_023,SOUNDTRAP-4300-1208791071,SOUNDTRAP_RECORDING,2018-11-22T08:28:24+0000,2018-12-03T00:49:11+0000,120.0,180.0,576.0,16,1,1,,UTC,,,,,,FALSE,,,,,
SWFSC,SWFSC_NEPAC-CHI_201608_PASCAL_005,SOUNDTRAP-4300-8677,SOUNDTRAP_RECORDING,2016-08-22T15:03:58+0000,2016-09-04T22:55:57+0000,120.0,480.0,288.0,16,1,1,,UTC,,,,,,FALSE,,,,,
SWFSC,SWFSC_NEPAC-CHI_201608_PASCAL_008,SM2BAT-1,SM2BAT_RECORDING,2016-08-26T04:56:00+0000,2016-09-14T02:46:00+0000,120.0,120.0,192.0,16,1,1,,UTC,,,,,,FALSE,,,,,
SWFSC,SWFSC_NEPAC-CHI_201609_PASCAL_019,SOUNDTRAP-4300-129,SOUNDTRAP_RECORDING,2016-09-04T01:47:23+0000,2016-09-23T06:59:22+0000,120.0,480.0,288.0,16,1,1,,UTC,,,,,,FALSE,,,,,
SWFSC,SWFSC_NEPAC-CHI_201609_PASCAL_020,SOUNDTRAP-4300-773,SOUNDTRAP_RECORDING,2016-09-07T02:37:11+0000,2016-09-29T05:18:16+0000,120.0,480.0,288.0,16,1,1,,UTC,,,,,,FALSE,,,,,
SWFSC,SWFSC_NEPAC-CHI_201609_PASCAL_026,SOUNDTRAP-4300-774,SOUNDTRAP_RECORDING,2016-09-24T15:15:28+0000,2016-09-26T04:21:29+0000,3600.0,0.0,288.0,16,1,1,,UTC,,,,,,FALSE,,,,,
SWFSC,SWFSC_NEPAC-CHI_201609_PASCAL_027,SOUNDTRAP-4300-8025,SOUNDTRAP_RECORDING,2016-09-24T15:49:50+0000,2016-09-26T03:53:51+0000,3600.0,0.0,288.0,16,1,1,,UTC,,,,,,FALSE,,,,,
SWFSC,SWFSC_NEPAC-CHI_201609_PASCAL_028,SOUNDTRAP-4300-4581,SOUNDTRAP_RECORDING,2016-09-24T16:40:33+0000,2016-09-29T03:38:00+0000,3600.0,0.0,288.0,16,1,1,,UTC,,,,,,FALSE,,,,,
SWFSC,SWFSC_NEPAC-CHI_201609_PASCAL_029,SOUNDTRAP-4300-774,SOUNDTRAP_RECORDING,2016-09-26T05:39:29+0000,2016-09-28T14:17:32+0000,3600.0,0.0,288.0,16,1,1,,UTC,,,,,,FALSE,,,,,
SWFSC,SWFSC_NEPAC-CHI_201609_PASCAL_030,SOUNDTRAP-4300-8025,SOUNDTRAP_RECORDING,2016-09-26T06:07:52+0000,2016-09-28T15:13:54+0000,3600.0,0.0,288.0,16,1,1,,UTC,,,,,,FALSE,,,,,
SWFSC,SWFSC_NEPAC-CHI_201809_CCES_013,SOUNDTRAP-4300-1677738025,SOUNDTRAP_RECORDING,2018-09-11T20:56:28+0000,2018-10-23T13:58:28+0000,120.0,1080.0,288.0,16,1,1,,UTC,,,,,,FALSE,,,,,
SWFSC,SWFSC_NEPAC-COL_201608_PASCAL_012,SOUNDTRAP-4300-774,SOUNDTRAP_RECORDING,2016-08-29T09:01:46+0000,2016-09-17T19:53:46+0000,120.0,480.0,288.0,16,1,1,,UTC,,,,,,FALSE,,,,,
