organization_code,deployment_code,track_code,track_json,track_uri,track_comments
SWFSC,SWFSC_NEPAC-PTA_201808_CCES_010,TRACK,,,
SWFSC,SWFSC_NEPAC-CHI_201609_PASCAL_020,TRACK,,,
SWFSC,SWFSC_NEPAC-BCN_201608_PASCAL_006,TRACK,,,
SWFSC,SWFSC_NEPAC-BCN_201608_PASCAL_007,TRACK,,,
SWFSC,SWFSC_NEPAC-BCN_201810_CCES_014,TRACK,,,
SWFSC,SWFSC_NEPAC-BCN_201810_CCES_016,TRACK,,,
SWFSC,SWFSC_NEPAC-BCN_201810_CCES_017,TRACK,,,
SWFSC,SWFSC_NEPAC-BCN_201810_CCES_018,TRACK,,,
SWFSC,SWFSC_NEPAC-BCN_201811_CCES_019,TRACK,,,
SWFSC,SWFSC_NEPAC-BCN_201811_CCES_020,TRACK,,,
SWFSC,SWFSC_NEPAC-BCN_201811_CCES_021,TRACK,,,
SWFSC,SWFSC_NEPAC-BCN_201811_CCES_022,TRACK,,,
SWFSC,SWFSC_NEPAC-BCN_201811_CCES_023,TRACK,,,
SWFSC,SWFSC_NEPAC-CHI_201608_PASCAL_005,TRACK,,,
SWFSC,SWFSC_NEPAC-CHI_201608_PASCAL_008,TRACK,,,
SWFSC,SWFSC_NEPAC-CHI_201609_PASCAL_019,TRACK,,,
SWFSC,SWFSC_NEPAC-CHI_201609_PASCAL_026,TRACK,,,
SWFSC,SWFSC_NEPAC-CHI_201609_PASCAL_027,TRACK,,,
SWFSC,SWFSC_NEPAC-CHI_201609_PASCAL_028,TRACK,,,
SWFSC,SWFSC_NEPAC-CHI_201609_PASCAL_029,TRACK,,,
SWFSC,SWFSC_NEPAC-CHI_201609_PASCAL_030,TRACK,,,
SWFSC,SWFSC_NEPAC-CHI_201809_CCES_013,TRACK,,,
SWFSC,SWFSC_NEPAC-COL_201608_PASCAL_012,TRACK,,,
SWFSC,SWFSC_NEPAC-COL_201608_PASCAL_013,TRACK,,,
SWFSC,SWFSC_NEPAC-HMB_202106_ADRIFT_002,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_201608_PASCAL_002,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_201609_PASCAL_016,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_201807_CCES_004,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_201808_CCES_007,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_201808_CCES_008,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202108_ADRIFT_001,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202201_ADRIFT_012,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202204_ADRIFT_017,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202204_ADRIFT_018,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202207_ADRIFT_030,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202207_ADRIFT_031,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202209_ADRIFT_032,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202209_ADRIFT_033,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202211_ADRIFT_036,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202211_ADRIFT_037,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202211_ADRIFT_038,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202212_ADRIFT_039,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202212_ADRIFT_040,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202212_ADRIFT_041,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202303_ADRIFT_054,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202303_ADRIFT_055,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202303_ADRIFT_057,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202305_ADRIFT_068,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202305_ADRIFT_070,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202305_ADRIFT_071,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202308_ADRIFT_088,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202308_ADRIFT_089,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202308_ADRIFT_090,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202308_ADRIFT_091,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202310_ADRIFT_097,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202310_ADRIFT_098,TRACK,,,
SWFSC,SWFSC_NEPAC-HUM_202310_ADRIFT_099,TRACK,,,
