organization_code,deployment_code,project_code,site_code,deployment_device_codes,deployment_platform_type_code,deployment_water_depth_m,deployment_datetime,deployment_latitude,deployment_longitude,deployment_vessel,deployment_cruise,deployment_alias,deployment_json,deployment_comments,recovery_datetime,recovery_latitude,recovery_longitude,recovery_vessel,recovery_cruise,recovery_surface_datetime,recovery_burn_datetime,recovery_json,recovery_comments,parent_deployment_code
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,SWFSC_CalCurCEAS_2024,NEPac,"SoundTrap_7951,HTI_856135,HTI_856147,satellite-tracker_BE,satellite-tracker_BF,depth-sensor_16409",drifting_buoy,,2024-08-17T18:58:00Z,46.881667,-126.157,R/V Bold Horizon,CalCurCEAS_2024,,,,2024-08-25T13:30:00Z,46.98521,-125.479446,R/V Bold Horizon,CalCurCEAS_2024,,,,,
SWFSC,SWFSC_NEPac_20240820_CalCurCEAS_002,SWFSC_CalCurCEAS_2024,NEPac,"SoundTrap_6663,HTI_856164,HTI_856175,satellite-tracker_K,satellite-tracker_L,depth-sensor_16636",drifting_buoy,,2024-08-20T13:32:00Z,45.556043,-125.230057,R/V Bold Horizon,CalCurCEAS_2024,,,,2024-08-30T01:50:00Z,44.3326,-126.2272,R/V Bold Horizon,CalCurCEAS_2024,,,,,
SWFSC,SWFSC_NEPac_20240820_CalCurCEAS_003,SWFSC_CalCurCEAS_2024,NEPac,"SoundTrap_7517,HTI_856154,HTI_856170,satellite-tracker_BA,satellite-tracker_BB,depth-sensor_15865",drifting_buoy,,2024-08-20T20:35:00Z,45.733755,-126.415088,R/V Bold Horizon,CalCurCEAS_2024,,,,2024-08-30T05:30:00Z,44.95843,-126.4729,R/V Bold Horizon,CalCurCEAS_2024,,,,,
SWFSC,SWFSC_NEPac_20240821_CalCurCEAS_004,SWFSC_CalCurCEAS_2024,NEPac,"SoundTrap_7581,HTI_856141,HTI_856144,satellite-tracker_U,satellite-tracker_R,depth-sensor_16396",drifting_buoy,,2024-08-21T03:56:00Z,45.919688,-127.678205,R/V Bold Horizon,CalCurCEAS_2024,,,,2024-08-28T03:15:00Z,45.58746,-128.04535,R/V Bold Horizon,CalCurCEAS_2024,,,,,
SWFSC,SWFSC_NEPac_20240823_CalCurCEAS_006,SWFSC_CalCurCEAS_2024,NEPac,"SoundTrap_7936,HTI_856139,HTI_856148,satellite-tracker_AF,satellite-tracker_AG,depth-sensor_17438",drifting_buoy,,2024-08-23T00:46:00Z,44.814023,-128.041533,R/V Bold Horizon,CalCurCEAS_2024,,,,2024-08-30T15:39:00Z,44.68899,-127.88408,R/V Bold Horizon,CalCurCEAS_2024,,,,,
SWFSC,SWFSC_NEPac_20240913_CalCurCEAS_008,SWFSC_CalCurCEAS_2024,NEPac,"SoundTrap_7936,HTI_856136,HTI_856145,satellite-tracker_SO-359,depth-sensor_15766",drifting_buoy,,2024-09-13T22:02:59Z,43.747667,-128.273333,R/V Bold Horizon,CalCurCEAS_2024,,,,2024-09-21T23:40:00Z,43.0083,-127.2667,R/V Bold Horizon,CalCurCEAS_2024,,,,,
SWFSC,SWFSC_NEPac_20240914_CalCurCEAS_009,SWFSC_CalCurCEAS_2024,NEPac,"SoundTrap_7517,HTI_856138,HTI_856151,satellite-tracker_SO-588,depth-sensor_17439",drifting_buoy,,2024-09-14T13:54:00Z,43.426,-126.96783,R/V Bold Horizon,CalCurCEAS_2024,,,,2024-09-23T21:33:00Z,41.7133,-128.3278,R/V Bold Horizon,CalCurCEAS_2024,,,,,
SWFSC,SWFSC_NEPac_20240914_CalCurCEAS_010,SWFSC_CalCurCEAS_2024,NEPac,"SoundTrap_6663,HTI_856159,HTI_856177,satellite-tracker_SO-602,depth-sensor_16396",drifting_buoy,,2024-09-14T21:17:59Z,42.25467,-127.2365,R/V Bold Horizon,CalCurCEAS_2024,,,,2024-09-24T01:30:00Z,41.3015,-127.7165,R/V Bold Horizon,CalCurCEAS_2024,,,,,
SWFSC,SWFSC_NEPac_20240915_CalCurCEAS_011,SWFSC_CalCurCEAS_2024,NEPac,"SoundTrap_7518,HTI_856156,HTI_856167,satellite-tracker_SO-533,depth-sensor_16636",drifting_buoy,,2024-09-15T16:55:00Z,43.208,-125.6977,R/V Bold Horizon,CalCurCEAS_2024,,,,2024-09-22T15:14:00Z,43.07845,-125.9508,R/V Bold Horizon,CalCurCEAS_2024,,,,,
SWFSC,SWFSC_NEPac_20241001_CalCurCEAS_012,SWFSC_CalCurCEAS_2024,NEPac,"SoundTrap_7930,HTI_856135,HTI_856147,satellite-tracker_J,satellite-tracker_G,depth-sensor_16409",drifting_buoy,,2024-10-01T23:00:00Z,41.061167,-124.6165,R/V Bold Horizon,CalCurCEAS_2024,,,,2024-10-05T03:17:00Z,41.3445,-124.667667,R/V Bold Horizon,CalCurCEAS_2024,,,,,
SWFSC,SWFSC_NEPac_20241002_CalCurCEAS_013,SWFSC_CalCurCEAS_2024,NEPac,"SoundTrap_7518,HTI_856163,HTI_856171,satellite-tracker_AE,satellite-tracker_AD,depth-sensor_16636",drifting_buoy,,2024-10-02T00:53:00Z,40.893198,-124.722005,R/V Bold Horizon,CalCurCEAS_2024,,,,2024-10-04T04:15:00Z,41.032167,-124.508667,R/V Bold Horizon,CalCurCEAS_2024,,,,,
SWFSC,SWFSC_NEPac_20241002_CalCurCEAS_014,SWFSC_CalCurCEAS_2024,NEPac,"SoundTrap_7519,HTI_856161,HTI_856176,satellite-tracker_SO-692,depth-sensor_15865",drifting_buoy,,2024-10-02T01:46:00Z,40.974037,-124.72036,R/V Bold Horizon,CalCurCEAS_2024,,,,2024-10-05T02:10:00Z,41.2382,-124.56778,R/V Bold Horizon,CalCurCEAS_2024,,,,,
SWFSC,SWFSC_NEPac_20241005_CalCurCEAS_015,SWFSC_CalCurCEAS_2024,NEPac,"SoundTrap_6663,HTI_856136,HTI_856145,satellite-tracker_SO-602,depth-sensor_16636",drifting_buoy,,2024-10-05T14:24:00Z,40.822945,-126.193742,R/V Bold Horizon,CalCurCEAS_2024,,,,2024-10-11T14:48:00Z,40.515833,-126.05,R/V Bold Horizon,CalCurCEAS_2024,,,,,
SWFSC,SWFSC_NEPac_20241006_CalCurCEAS_016,SWFSC_CalCurCEAS_2024,NEPac,"SoundTrap_7936,HTI_856135,HTI_856147,satellite-tracker_J,satellite-tracker_G,depth-sensor_16597",drifting_buoy,,2024-10-06T01:58:00Z,39.675837,-126.560938,R/V Bold Horizon,CalCurCEAS_2024,,,,2024-10-13T16:09:00Z,39.140667,-127.4075,R/V Bold Horizon,CalCurCEAS_2024,,,,,
SWFSC,SWFSC_NEPac_20241006_CalCurCEAS_017,SWFSC_CalCurCEAS_2024,NEPac,"SoundTrap_7518,HTI_856159,HTI_856177,satellite-tracker_SO-588,depth-sensor_16536",drifting_buoy,,2024-10-06T14:38:00Z,41.0785,-127.481667,R/V Bold Horizon,CalCurCEAS_2024,,,,2024-10-12T14:15:00Z,42.336167,-127.7805,R/V Bold Horizon,CalCurCEAS_2024,,,,,
SWFSC,SWFSC_NEPac_20241006_CalCurCEAS_018,SWFSC_CalCurCEAS_2024,NEPac,"SoundTrap_7930,HTI_856138,HTI_856151,satellite-tracker_SO-359,depth-sensor_15771",drifting_buoy,,2024-10-06T23:46:00Z,40.038188,-127.711952,R/V Bold Horizon,CalCurCEAS_2024,,,,2024-10-11T21:51:00Z,40.5045,-126.958833,R/V Bold Horizon,CalCurCEAS_2024,,,,,
SWFSC,SWFSC_NEPac_20241009_CalCurCEAS_019,SWFSC_CalCurCEAS_2024,NEPac,"SoundTrap_8595,HTI_856155,HTI_856166,satellite-tracker_BD,satellite-tracker_BC,depth-sensor_15968",drifting_buoy,,2024-10-09T04:53:00Z,39.336533,-125.253857,R/V Bold Horizon,CalCurCEAS_2024,,,,2024-10-15T21:55:00Z,38.951333,-124.302667,R/V Bold Horizon,CalCurCEAS_2024,,,,,
SWFSC,SWFSC_NEPac_20241026_CalCurCEAS_020,SWFSC_CalCurCEAS_2024,NEPac,"SoundTrap_7936,HTI_856163,HTI_856171,satellite-tracker_SO-588,depth-sensor_16431",drifting_buoy,,2024-10-26T14:48:59Z,36.552167,-124.549167,R/V Bold Horizon,CalCurCEAS_2024,,,,2024-11-09T09:36:00Z,34.350333,-124.1345,R/V Bold Horizon,CalCurCEAS_2024,,,,,
SWFSC,SWFSC_NEPac_20241027_CalCurCEAS_021,SWFSC_CalCurCEAS_2024,NEPac,"SoundTrap_8595,HTI_856141,HTI_856144,satellite-tracker_SO-359,depth-sensor_16636",drifting_buoy,,2024-10-27T01:02:59Z,36.231905,-123.357812,R/V Bold Horizon,CalCurCEAS_2024,,,,2024-11-07T14:55:00Z,36.13441,-123.27079,R/V Bold Horizon,CalCurCEAS_2024,,,,,
