organization_code,deployment_code,recording_code,recording_device_codes,recording_start_datetime,recording_end_datetime,recording_duration_secs,recording_interval_secs,recording_sample_rate_khz,recording_bit_depth,recording_channel,recording_n_channels,recording_filetypes,recording_timezone,recording_usable_start_datetime,recording_usable_end_datetime,recording_usable_min_frequency_khz,recording_usable_max_frequency_khz,recording_quality_code,recording_device_lost,recording_device_depth_m,recording_redacted,recording_json,recording_uri,recording_comments
SWFSC,SWFSC_ORE_20160819_PASCAL_001,SoundTrap_Recordings,"SoundTrap_8505,HTI_856052,HTI_856063",2016-08-20T02:20:07Z,2016-08-31T14:42:00Z,120,600,288,16,1,2,WAV,UTC,2016-08-20T02:20:07Z,2016-08-31T14:42:00Z,0.25,144,COMPROMISED,,100,,,gs:/swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_001,
SWFSC,SWFSC_HUM_20160821_PASCAL_002,SoundTrap_Recordings,"SoundTrap_0773,HTI_856061,HTI_856056",2016-08-20T18:44:06Z,2016-09-01T02:06:05Z,120,600,288,16,1,2,WAV,UTC,2016-08-20T18:44:06Z,2016-09-01T02:06:05Z,0.028,144,GOOD,,100,,,gs:/swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_002,
SWFSC,SWFSC_MND_20160821_PASCAL_003,SoundTrap_Recordings,"SoundTrap_2438,HTI_856051,HTI_856067",2016-08-21T10:37:16Z,2016-09-02T16:39:16Z,120,600,288,16,1,2,WAV,UTC,2016-08-21T10:37:16Z,2016-09-02T16:39:16Z,0.25,144,COMPROMISED,,100,,,gs:/swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_003,
SWFSC,SWFSC_MBY_20160822_PASCAL_004,SoundTrap_Recordings,"SoundTrap_2634,HTI_856060,HTI_856058",2016-08-22T00:28:27Z,2016-09-03T19:14:33Z,120,600,288,16,1,2,WAV,UTC,2016-08-22T00:28:27Z,2016-09-03T19:14:33Z,0.07,144,GOOD,,100,,,gs:/swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_004,
SWFSC,SWFSC_CHI_20160822_PASCAL_005,SoundTrap_Recordings,"SoundTrap_8677,HTI_856048,HTI_856059",2016-08-22T15:03:57Z,2016-09-04T22:55:57Z,120,600,288,16,1,2,WAV,UTC,2016-08-22T15:03:57Z,2016-09-04T22:55:57Z,0,144,GOOD,,100,,,gs:/swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_005,
SWFSC,SWFSC_BCN_20160824_PASCAL_006,SoundTrap_Recordings,"SoundTrap_6538,HTI_856053,HTI_856064",2016-08-24T13:00:23Z,2016-08-30T03:29:26Z,120,120,288,16,1,2,WAV,UTC,2016-08-24T13:00:23Z,2016-08-30T03:29:26Z,0.23,144,COMPROMISED,,100,,,gs:/swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_006,
SWFSC,SWFSC_BCN_20160825_PASCAL_007,SoundTrap_Recordings,"SoundTrap_SM3M #1,HTI_856045,HTI_856042",2016-08-25T09:30:05Z,2016-09-13T09:30:03Z,114,114,256,16,1,2,WAV,UTC,2016-08-25T09:30:05Z,2016-09-13T09:30:03Z,0.25,128,COMPROMISED,,100,,,gs:/swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_007,
SWFSC,SWFSC_CHI_20160826_PASCAL_008,SoundTrap_Recordings,"SoundTrap_SM2+Bat #1,HTI_856028,HTI_856025",2016-08-26T04:56:00Z,2016-09-14T02:46:00Z,120,240,192,16,1,2,WAV,UTC,2016-08-26T04:56:00Z,2016-09-14T02:46:00Z,0.25,96,COMPROMISED,,100,,,gs:/swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_008,
SWFSC,SWFSC_MBY_20160827_PASCAL_009,SoundTrap_Recordings,"SoundTrap_1436,HTI_856050,HTI_856065",2016-08-27T00:22:14Z,2016-09-15T13:04:14Z,120,600,288,16,1,2,WAV,UTC,2016-08-27T00:22:14Z,2016-09-15T13:04:14Z,0,288,GOOD,,100,,,gs:/swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_009,
SWFSC,SWFSC_MBY_20160827_PASCAL_009,SoundTrap_Recordings,"SoundTrap_3689,HTI_201883689,HTI_n/a",2016-08-27T02:14:57Z,2016-09-15T20:12:13Z,120,120,48,16,1,2,WAV,UTC,2016-08-27T02:14:57Z,2016-09-15T20:12:13Z,0,24,GOOD,,100,,,gs:/swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_009,
SWFSC,SWFSC_MND_20160827_PASCAL_010,SoundTrap_Recordings,"SoundTrap_SM3M #2,HTI_856046,HTI_856039",2016-08-27T17:44:06Z,2016-09-17T04:24:05Z,114,114,256,16,1,2,WAV,UTC,2016-08-27T17:44:06Z,2016-09-17T04:24:05Z,0.03,256,GOOD,,100,,,gs:/swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_010,
SWFSC,SWFSC_ORE_20160828_PASCAL_011,SoundTrap_Recordings,"SoundTrap_SM2+Bat #2,HTI_856019,HTI_856023",2016-08-28T12:44:00Z,2016-09-17T04:18:00Z,120,240,192,16,1,2,WAV,UTC,2016-08-28T12:44:00Z,2016-09-17T04:18:00Z,0.25,96,COMPROMISED,,100,,,gs:/swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_011,
SWFSC,SWFSC_COL_20160829_PASCAL_012,SoundTrap_Recordings,"SoundTrap_0774,HTI_856049,HTI_856068",2016-08-29T09:01:46Z,2016-09-17T19:53:46Z,120,600,288,16,1,2,WAV,UTC,2016-08-29T09:01:46Z,2016-09-17T19:53:46Z,0.027,144,GOOD,,100,,,gs:/swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_012,
