organization_code,deployment_code,track_code,track_uri,track_json,track_comments
SWFSC,SWFSC_CHI_20160826_PASCAL_008,drifting-buoy_track,gs:/swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_008/metadata/gps/PASCAL_008_GPS.csv,,
SWFSC,SWFSC_ORE_20160828_PASCAL_011,drifting-buoy_track,gs:/swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_011/metadata/gps/PASCAL_011_GPS.csv,,
SWFSC,SWFSC_WAS_20160830_PASCAL_014,drifting-buoy_track,gs:/swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_014/metadata/gps/PASCAL_014_GPS.csv,,
SWFSC,SWFSC_MBY_20160903_PASCAL_018,drifting-buoy_track,gs:/swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_018/metadata/gps/PASCAL_018_GPS.csv,,
SWFSC,SWFSC_BCN_20160825_PASCAL_007,drifting-buoy_track,gs:/swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_007/metadata/gps/PASCAL_007_GPS.csv,,
SWFSC,SWFSC_MND_20160827_PASCAL_010,drifting-buoy_track,gs:/swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_010/metadata/gps/PASCAL_010_GPS.csv,,
SWFSC,SWFSC_COL_20160829_PASCAL_013,drifting-buoy_track,gs:/swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_013/metadata/gps/PASCAL_013_GPS.csv,,
SWFSC,SWFSC_PTA_20160902_PASCAL_017,drifting-buoy_track,gs:/swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_017/metadata/gps/PASCAL_017_GPS.csv,,
SWFSC,SWFSC_MBY_20160827_PASCAL_009,drifting-buoy_track,gs:/swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_009/metadata/gps/PASCAL_009_GPS.csv,,
SWFSC,SWFSC_SND_20160924_PASCAL_024,drifting-buoy_track,gs:/swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_024/metadata/gps/PASCAL_024_GPS.csv,,
SWFSC,SWFSC_CHI_20160924_PASCAL_026,drifting-buoy_track,gs:/swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_026/metadata/gps/PASCAL_026_GPS.csv,,
SWFSC,SWFSC_CHI_20160926_PASCAL_029,drifting-buoy_track,gs:/swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_029/metadata/gps/PASCAL_029_GPS.csv,,
SWFSC,SWFSC_ORE_20160819_PASCAL_001,drifting-buoy_track,gs:/swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_001/metadata/gps/PASCAL_001_GPS.csv,,
SWFSC,SWFSC_HUM_20160821_PASCAL_002,drifting-buoy_track,gs:/swfsc-1-working/2016_PASCAL/drifting_recorder/PASCAL_002/metadata/gps/PASCAL_002_GPS.csv,,
