organization_code,deployment_code,project_code,site_code,deployment_device_codes,deployment_platform_type_code,deployment_water_depth_m,deployment_datetime,deployment_latitude,deployment_longitude,deployment_vessel,deployment_cruise,deployment_alias,deployment_json,deployment_comments,recovery_datetime,recovery_latitude,recovery_longitude,recovery_vessel,recovery_cruise,recovery_surface_datetime,recovery_burn_datetime,recovery_json,recovery_comments,parent_deployment_code
SWFSC,SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_5987,HTI_856135,HTI_856147,satellite-tracker_R,satellite-tracker_S,depth-sensor_16396",drifting_buoy,NA,2021-08-22T17:53:00Z,41.07169,-124.35431,R/V Western Flyer,MBARI,NA,NA,NA,2021-09-04T19:53:00Z,41.19933,-124.35431,F/V Scrimshaw,MBARI,NA,NA,NA,NA,NA
SWFSC,SWFSC_HMB_20210609_ADRIFT_002,SWFSC_ADRIFT_2021-2023,HMB,"SoundTrap_5296,HTI_856097,HTI_856059,satellite-tracker_X,satellite-tracker_Y,depth-sensor_15712",drifting_buoy,NA,2021-06-09T18:38:00Z,37.38445,-122.39095,R/V Fullmar,ACCESS,NA,NA,NA,2021-06-29T23:58:00Z,36.97772,-124.24507,R/V Shimada,ACCESS,NA,NA,NA,NA,NA
SWFSC,SWFSC_SFB_20210725_ADRIFT_003,SWFSC_ADRIFT_2021-2023,SFB,"SoundTrap_1208786975,HTI_856122,HTI_NA,satellite-tracker_E,satellite-tracker_AH,depth-sensor_15720",drifting_buoy,NA,2021-07-25T18:33:00Z,37.96585,-123.50412,R/V Fullmar,ACCESS,NA,NA,NA,2021-08-03T16:04:00Z,38.03326,-123.47699,R/V Mussel Point,ACCESS,NA,NA,NA,NA,NA
SWFSC,SWFSC_SFB_20210610_ADRIFT_005,SWFSC_ADRIFT_2021-2023,SFB,"SoundTrap_1208786975,HTI_856122,HTI_NA,satellite-tracker_K,satellite-tracker_AF,depth-sensor_15815",drifting_buoy,NA,2021-06-10T18:30:00Z,37.64012,-123.31702,R/V Fullmar,ACCESS,NA,NA,NA,2021-06-24T16:50:59Z,37.35722,-123.40192,R/V Fulmar,ACCESS,NA,NA,NA,NA,NA
SWFSC,SWFSC_SFB_20210725_ADRIFT_006,SWFSC_ADRIFT_2021-2023,SFB,"SoundTrap_5318,HTI_856116,HTI_NA,satellite-tracker_K,satellite-tracker_AF,depth-sensor_15815",drifting_buoy,NA,2021-07-25T19:11:00Z,38.12932,-123.54153,R/V Fullmar,ACCESS,NA,NA,NA,2021-07-28T22:24:00Z,38.12057,-123.31761,F/V Karen Jeanne,ACCESS,NA,NA,NA,NA,NA
SWFSC,SWFSC_SFB_20210610_ADRIFT_007,SWFSC_ADRIFT_2021-2023,SFB,"SoundTrap_5318,HTI_856116,HTI_NA,satellite-tracker_E,satellite-tracker_AH,depth-sensor_15720",drifting_buoy,NA,2021-06-10T16:49:00Z,37.84347,-123.4218,R/V Fullmar,ACCESS,NA,NA,NA,2021-06-24T15:46:00Z,37.69527,-123.35722,R/V Fulmar,ACCESS,NA,NA,NA,NA,NA
SWFSC,SWFSC_HUM_20220118_ADRIFT_012,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_5992,HTI_856162,HTI_856168,satellite-tracker_E,satellite-tracker_AH,depth-sensor_15865",drifting_buoy,NA,2022-01-18T03:16:00Z,41.03348,-124.43,R/V Coral Sea,CS220117,NA,NA,NA,2022-01-23T18:52:00Z,40.86609,-124.86101,F/V Schrimshaw,CS220117,NA,NA,NA,NA,NA
SWFSC,SWFSC_MOB_20220423_ADRIFT_013,SWFSC_ADRIFT_2021-2023,MOB,"SoundTrap_6655,HTI_856163,HTI_856171,satellite-tracker_AG,satellite-tracker_BIG B,satellite-tracker_ROCK 7,depth-sensor_16546",drifting_buoy,NA,2022-04-23T20:16:00Z,36.049917,-122.031117,R/V Shimada,CALCOFI-2204SH,NA,NA,NA,2022-05-05T16:17:00Z,34.99745,-122.2717,R/V Marcus G. Langseth,CALCOFI-2204SH,NA,NA,NA,NA,NA
SWFSC,SWFSC_SFB_20220618_ADRIFT_015,SWFSC_ADRIFT_2021-2023,SFB,"SoundTrap_6668,HTI_856154,HTI_856170,satellite-tracker_K,satellite-tracker_AF,satellite-tracker_ROCK 7,depth-sensor_15801",drifting_buoy,NA,2022-06-18T07:47:59Z,37.9643,-123.5039,R/V Shimada,ACCESS,NA,NA,NA,2022-06-21T06:39:00Z,37.67826,-123.35202,R/V Shimada,ACCESS,NA,NA,NA,NA,NA
SWFSC,SWFSC_HUM_20220425_ADRIFT_017,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_5987,HTI_856162,HTI_856168,satellite-tracker_E,satellite-tracker_AH,depth-sensor_15518",drifting_buoy,NA,2022-04-25T15:36:00Z,41.05788,-124.48456,F/V Scrimshaw,Scrimshaw,NA,NA,NA,2022-04-28T19:17:00Z,40.69507,-124.52717,F/V Scrimshaw,Scrimshaw,NA,NA,NA,NA,NA
SWFSC,SWFSC_HUM_20220425_ADRIFT_018,SWFSC_ADRIFT_2021-2023,HUM,"SoundTrap_5989,HTI_856155,HTI_856166,satellite-tracker_R,satellite-tracker_S,depth-sensor_15817",drifting_buoy,NA,2022-04-25T16:12:00Z,41.05201,-124.54956,F/V Scrimshaw,Scrimshaw,NA,NA,NA,2022-04-28T20:18:00Z,40.5795,-124.86624,F/V Scrimshaw,Scrimshaw,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20220621_ADRIFT_019,SWFSC_ADRIFT_2021-2023,MBY,"SoundTrap_6673,HTI_856157,HTI_856169,satellite-tracker_M,satellite-tracker_N,satellite-tracker_SO-638,depth-sensor_16549",drifting_buoy,NA,2022-06-21T16:24:00Z,35.798267,-122.190733,R/V Fulmar,CCC,NA,NA,NA,2022-06-25T22:14:00Z,35.977217,-122.047467,R/V Fulmar,CCC,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20220621_ADRIFT_020,SWFSC_ADRIFT_2021-2023,MBY,"SoundTrap_6666,HTI_856156,HTI_856167,satellite-tracker_SO-135,depth-sensor_16647",drifting_buoy,NA,2022-06-21T16:50:59Z,35.8005,-122.088867,R/V Fulmar,CCC,NA,NA,NA,2022-06-25T18:06:00Z,35.612433,-121.9225,R/V Fulmar,CCC,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20220621_ADRIFT_021,SWFSC_ADRIFT_2021-2023,MBY,"SoundTrap_6670,HTI_856164,HTI_856175,satellite-tracker_SO-798,depth-sensor_16597",drifting_buoy,NA,2022-06-21T17:15:00Z,35.80185,-121.984017,R/V Fulmar,CCC,NA,NA,NA,2022-06-25T18:30:00Z,35.623483,-121.823783,R/V Fulmar,CCC,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20220621_ADRIFT_022,SWFSC_ADRIFT_2021-2023,MBY,"SoundTrap_6667,HTI_856159,HTI_856177,satellite-tracker_SO-359,depth-sensor_16595",drifting_buoy,NA,2022-06-21T17:46:00Z,35.80385,-121.877383,R/V Fulmar,CCC,NA,NA,NA,2022-06-25T16:50:59Z,35.49745,-122.023217,R/V Fulmar,CCC,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20220621_ADRIFT_023,SWFSC_ADRIFT_2021-2023,MBY,"SoundTrap_6665,HTI_856141,HTI_856144,satellite-tracker_P,satellite-tracker_Q,satellite-tracker_SO-506,depth-sensor_16408",drifting_buoy,NA,2022-06-21T19:11:00Z,35.713917,-122.1861,R/V Fulmar,CCC,NA,NA,NA,2022-06-25T21:26:00Z,35.843,-121.88,R/V Fulmar,CCC,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20220621_ADRIFT_024,SWFSC_ADRIFT_2021-2023,MBY,"SoundTrap_6664,HTI_856163,HTI_856171,satellite-tracker_SO-919,depth-sensor_16536",drifting_buoy,NA,2022-06-21T19:36:00Z,35.71575,-122.085283,R/V Fulmar,CCC,NA,NA,NA,2022-06-25T20:13:00Z,35.7206,-122.108667,R/V Fulmar,CCC,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20220621_ADRIFT_025,SWFSC_ADRIFT_2021-2023,MBY,"SoundTrap_6672,HTI_856139,HTI_856148,satellite-tracker_SO-082,depth-sensor_16656",drifting_buoy,NA,2022-06-21T20:01:00Z,35.715583,-121.981633,R/V Fulmar,CCC,NA,NA,NA,2022-06-25T17:21:00Z,35.541283,-122.025417,R/V Fulmar,CCC,NA,NA,NA,NA,NA
SWFSC,SWFSC_MBY_20220621_ADRIFT_026,SWFSC_ADRIFT_2021-2023,MBY,"SoundTrap_6663,HTI_856165,HTI_856173,satellite-tracker_AE,satellite-tracker_FB,satellite-tracker_SO-692,depth-sensor_16658",drifting_buoy,NA,2022-06-21T20:35:59Z,35.715583,-121.876783,R/V Fulmar,CCC,NA,NA,NA,2022-06-25T20:47:00Z,35.753433,-122.014633,R/V Fulmar,CCC,NA,NA,NA,NA,NA
SWFSC,SWFSC_SFB_20220726_ADRIFT_028,SWFSC_ADRIFT_2021-2023,SFB,"SoundTrap_6668,HTI_856154,HTI_856170,satellite-tracker_G,satellite-tracker_F,satellite-tracker_SO-082,depth-sensor_15801",drifting_buoy,NA,2022-07-26T17:05:00Z,37.88748,-123.3764,R/V Fulmar,ACCESS,NA,NA,NA,2022-07-30T18:24:00Z,37.71733,-123.7965,R/V Fulmar,ACCESS,NA,NA,NA,NA,NA
